poligono_id,anio,superficie_construida_km2,superficie_vegetacion_km2,edificios_total,confianza_inferior,confianza_superior
nemesio_parma,2025,0.0,2.1381,0,0,0
villa_cabello,2018,0.2748,2.3156,2748,2335,3161
villa_cabello,2019,0.3389,2.2515,3389,2880,3898
villa_cabello,2020,0.3488,2.2416,3488,2964,4012
villa_cabello,2021,0.3745,2.2159,3745,3183,4307
villa_cabello,2022,0.3802,2.2102,3802,3231,4373
villa_cabello,2023,0.3925,2.1979,3925,3336,4514
villa_cabello,2024,0.4144,2.176,4144,3522,4766
villa_cabello,2025,0.4186,2.1718,4186,3558,4814
itaembe_pora,2018,0.2149,2.503,2149,1826,2472
itaembe_pora,2019,0.2616,2.4563,2616,2223,3009
itaembe_pora,2020,0.271,2.4469,2710,2303,3117
itaembe_pora,2021,0.3005,2.4174,3005,2554,3456
itaembe_pora,2022,0.304,2.4139,3040,2584,3496
itaembe_pora,2023,0.3162,2.4017,3162,2687,3637
itaembe_pora,2024,0.3312,2.3867,3312,2815,3809
itaembe_pora,2025,0.3362,2.3817,3362,2857,3867
itaembe_mini,2018,0.0734,1.1924,734,623,845
itaembe_mini,2019,0.0891,1.1767,891,757,1025
itaembe_mini,2020,0.0926,1.1732,926,787,1065
itaembe_mini,2021,0.103,1.1628,1030,875,1185
itaembe_mini,2022,0.1043,1.1615,1043,886,1200
itaembe_mini,2023,0.1085,1.1573,1085,922,1248
itaembe_mini,2024,0.114,1.1518,1140,969,1311
itaembe_mini,2025,0.1161,1.1497,1161,986,1336
aguas_corrientes,2018,0.4667,1.6253,4667,3966,5368
aguas_corrientes,2019,0.5361,1.5559,5361,4556,6166
aguas_corrientes,2020,0.5492,1.5428,5492,4668,6316
aguas_corrientes,2021,0.5698,1.5222,5698,4843,6553
aguas_corrientes,2022,0.5761,1.5159,5761,4896,6626
aguas_corrientes,2023,0.5886,1.5034,5886,5003,6769
aguas_corrientes,2024,0.6091,1.4829,6091,5177,7005
aguas_corrientes,2025,0.6142,1.4778,6142,5220,7064
chacra_32,2018,0.4376,3.1203,4376,3719,5033
chacra_32,2019,0.5345,3.0234,5345,4543,6147
chacra_32,2020,0.5548,3.0031,5548,4715,6381
chacra_32,2021,0.6047,2.9532,6047,5139,6955
chacra_32,2022,0.6195,2.9384,6195,5265,7125
chacra_32,2023,0.6398,2.9181,6398,5438,7358
chacra_32,2024,0.6658,2.8921,6658,5659,7657
chacra_32,2025,0.6742,2.8837,6742,5730,7754
bajada_vieja,2018,0.0338,0.5324,338,287,389
bajada_vieja,2019,0.0385,0.5277,385,327,443
bajada_vieja,2020,0.0406,0.5256,406,345,467
bajada_vieja,2021,0.0436,0.5226,436,370,502
bajada_vieja,2022,0.0438,0.5224,438,372,504
bajada_vieja,2023,0.0448,0.5214,448,380,516
bajada_vieja,2024,0.0462,0.52,462,392,532
bajada_vieja,2025,0.0464,0.5198,464,394,534
villa_bonita,2018,0.0544,2.4229,544,462,626
villa_bonita,2019,0.0723,2.405,723,614,832
villa_bonita,2020,0.0753,2.402,753,640,866
villa_bonita,2021,0.0814,2.3959,814,691,937
villa_bonita,2022,0.0839,2.3934,839,713,965
villa_bonita,2023,0.0894,2.3879,894,759,1029
villa_bonita,2024,0.0951,2.3822,951,808,1094
villa_bonita,2025,0.0984,2.3789,984,836,1132
itaembe_guazu,2018,0.6853,6.9564,6853,5825,7881
itaembe_guazu,2019,0.7659,6.8758,7659,6510,8808
itaembe_guazu,2020,0.777,6.8647,7770,6604,8936
