poligono_id,fecha,s1_vv_mean_db,s1_vh_mean_db,s1_cross_ratio,delta_vv_mean_db,n_imagenes_vv,n_imagenes_vh,version_script,fecha_calculo
colonia_laosiana,2020-07,-9.996937613962857,-15.652830597471088,5.655892983508231,0.774792903413573,6,6,0.1.0,2026-04-28T09:47:38
colonia_laosiana,2021-07,-11.054749801351198,-17.00676998813174,5.952020186780542,-1.0578121873883415,7,7,0.1.0,2026-04-28T09:47:39
colonia_laosiana,2022-07,-10.692541188873852,-16.657207889064782,5.96466670019093,0.36220861247734604,3,3,0.1.0,2026-04-28T09:47:41
colonia_laosiana,2023-07,-10.369966348685988,-16.14410305824151,5.774136709555522,0.32257484018786364,7,7,0.1.0,2026-04-28T09:47:42
colonia_laosiana,2024-07,-10.332757958501997,-15.802521920312078,5.469763961810081,0.03720839018399147,7,7,0.1.0,2026-04-28T09:47:43
colonia_laosiana,2025-07,-10.267819673491491,-15.430717701400631,5.16289802790914,0.06493828501050558,8,8,0.1.0,2026-04-28T09:47:44
colonia_laosiana,2026-07,,,,,0,0,0.1.0,2026-04-28T09:47:46
complejo_gervasio_artigas,2018-07,-10.821363230254784,-16.564149830806475,5.742786600551691,,8,8,0.1.0,2026-04-28T09:52:51
complejo_gervasio_artigas,2019-07,-10.456524948585749,-15.829995218553083,5.373470269967335,0.3648382816690354,2,2,0.1.0,2026-04-28T09:52:52
complejo_gervasio_artigas,2020-07,-9.210724917056346,-14.87639415404464,5.665669236988295,1.2458000315294022,6,6,0.1.0,2026-04-28T09:52:53
complejo_gervasio_artigas,2021-07,-10.538951539157242,-16.14751963470576,5.608568095548517,-1.328226622100896,7,7,0.1.0,2026-04-28T09:52:54
complejo_gervasio_artigas,2022-07,-10.008549510052822,-15.382932680796866,5.374383170744045,0.5304020291044207,3,3,0.1.0,2026-04-28T09:52:55
complejo_gervasio_artigas,2023-07,-9.726429297674017,-15.04826049409539,5.321831196421373,0.28212021237880514,7,7,0.1.0,2026-04-28T09:52:56
complejo_gervasio_artigas,2024-07,-9.72111190168032,-15.043601940535003,5.322490038854685,0.0053173959936962945,7,7,0.1.0,2026-04-28T09:52:58
complejo_gervasio_artigas,2025-07,-9.553418433555247,-14.84542205303197,5.292003619476722,0.1676934681250728,8,8,0.1.0,2026-04-28T09:52:59
